ID,overall,potential,value,wage,nationality,position,age,preferred_foot
158023,94,94,110500000,565000,Argentina,RF,31,Left
20801,94,94,77000000,405000,Portugal,ST,33,Right
190871,92,93,118500000,290000,Brazil,LW,26,Right
193080,91,93,72000000,260000,Spain,GK,27,Right
192985,91,92,102000000,355000,Belgium,RCM,27,Right
183277,91,91,93000000,340000,Belgium,LF,27,Right
177003,91,91,67000000,420000,Croatia,RCM,32,Right
176580,91,91,80000000,455000,Uruguay,RS,31,Right
155862,91,91,51000000,380000,Spain,RCB,32,Right
200389,90,93,68000000,94000,Slovenia,GK,25,Right
188545,90,90,77000000,205000,Poland,ST,29,Right
182521,90,90,76500000,355000,Germany,LCM,28,Right
182493,90,90,44000000,125000,Uruguay,CB,32,Right
168542,90,90,60000000,285000,Spain,LCM,32,Left
215914,89,90,63000000,225000,France,LDM,27,Right
211110,89,94,89000000,205000,Argentina,LF,24,Left
202126,89,91,83500000,205000,England,ST,24,Right
194765,89,90,78000000,145000,France,CAM,27,Left
192448,89,92,58000000,240000,Germany,GK,26,Right
192119,89,90,53500000,240000,Belgium,GK,26,Left
189511,89,89,51500000,315000,Spain,CDM,29,Right
179813,89,89,60000000,200000,Uruguay,LS,31,Right
167495,89,89,38000000,130000,Germany,GK,32,Right
153079,89,89,64500000,300000,Argentina,ST,30,Right
138956,89,89,27000000,215000,Italy,LCB,33,Left
231747,88,95,81000000,100000,France,RM,19,Right
209331,88,89,69500000,255000,Egypt,RM,26,Left
200145,88,90,59500000,285000,Brazil,CDM,26,Right
198710,88,89,69500000,315000,Colombia,LAM,26,Left
198219,88,88,62000000,165000,Italy,LW,27,Right
197781,88,91,73500000,315000,Spain,LW,26,Right
190460,88,91,73500000,205000,Denmark,CAM,26,Right
189242,88,89,69500000,340000,Brazil,LW,26,Right
188567,88,88,59000000,265000,Gabon,LM,29,Right
178603,88,88,46000000,160000,Germany,LCB,29,Right
176676,88,88,43000000,285000,Brazil,LB,30,Left
173731,88,88,60000000,355000,Wales,ST,28,Left
167948,88,88,36000000,150000,France,GK,31,Left
167664,88,88,57000000,245000,Argentina,LS,30,Right
164240,88,88,24000000,165000,Brazil,RCB,33,Right
162835,88,88,30000000,110000,Slovenia,GK,33,Right
1179,88,88,4000000,77000,Italy,GK,40,Right
205600,87,92,57000000,205000,France,CB,24,Left
201399,87,90,64500000,130000,Argentina,ST,25,Right
201024,87,90,51000000,115000,Senegal,LCB,27,Right
195864,87,91,64000000,210000,France,RDM,25,Right
193041,87,87,30500000,195000,Costa Rica,GK,31,Right
192505,87,89,62500000,230000,Belgium,ST,25,Left
192387,87,87,52000000,115000,Italy,ST,28,Right
189332,87,87,38000000,250000,Spain,LB,29,Left
175943,87,87,45000000,135000,Belgium,RF,31,Right
172871,87,87,34000000,155000,Belgium,LCB,31,Left
171877,87,87,46500000,125000,Slovakia,LCM,30,Right
168651,87,87,46500000,260000,Croatia,RCM,30,Right
152729,87,87,34000000,240000,Spain,RCB,31,Right
222492,86,92,61000000,195000,Germany,LW,22,Left
218667,86,91,59500000,180000,Portugal,RW,23,Left
210257,86,90,41500000,125000,Brazil,GK,24,Left
208722,86,87,52000000,195000,Senegal,LM,26,Right
203376,86,88,44500000,165000,Netherlands,LCB,26,Right
202652,86,89,56500000,195000,England,RW,23,Right
201942,86,87,53000000,195000,Brazil,CAM,26,Right
201535,86,91,50000000,210000,France,RCB,25,Right
199556,86,89,55000000,135000,Italy,LCM,25,Right
191043,86,86,36500000,160000,Brazil,LB,27,Left
190483,86,86,46500000,175000,Brazil,LM,27,Left
189596,86,86,45000000,135000,Germany,CAM,28,Right
189509,86,86,45500000,130000,Spain,CM,27,Right
188350,86,86,43500000,100000,Germany,LM,29,Right
184432,86,86,35000000,175000,Spain,RB,28,Right
184344,86,86,30000000,160000,Italy,RCB,31,Right
184087,86,87,39000000,150000,Belgium,RCB,29,Right
180206,86,86,44000000,180000,Bosnia Herzegovina,CDM,28,Right
177509,86,86,30000000,160000,Morocco,CB,31,Right
176635,86,86,43500000,190000,Germany,CAM,29,Left
135507,86,86,18000000,185000,Brazil,CDM,33,Right
41,86,86,21500000,21000,Spain,LF,34,Right
232363,85,92,46500000,82000,Slovakia,LCB,23,Right
223848,85,90,50500000,73000,Serbia,CM,23,Right
220834,85,92,54000000,215000,Spain,RW,22,Left
216594,85,89,50000000,92000,France,CAM,24,Left
212831,85,90,36500000,115000,Brazil,GK,25,Right
212622,85,88,40500000,92000,Germany,RCM,23,Right
208421,85,90,50500000,77000,Spain,RCM,23,Left
204485,85,85,40500000,205000,Algeria,RW,27,Left
197445,85,87,38000000,110000,Austria,LB,26,Left
193747,85,86,45000000,88000,Spain,LM,26,Right
193301,85,86,45000000,180000,France,ST,27,Right
192774,85,87,37500000,96000,Greece,LCB,27,Right
192366,85,85,28500000,170000,Argentina,CB,30,Right
189513,85,85,37000000,66000,Spain,RCM,29,Right
187961,85,85,37000000,235000,Brazil,LDM,29,Right
186153,85,87,32000000,125000,Poland,GK,28,Right
184941,85,85,37500000,215000,Chile,RW,29,Right
184267,85,85,39000000,28000,Algeria,LM,28,Right
183907,85,85,30000000,115000,Germany,RCB,29,Right
