PassengerId,Survived,Pclass,SibSp,Parch,Fare,Survived2,Sex,Deck,Seat,MV_Deck,Embarked,Age2,Age3,MV_Age,Age_Category,Title,Age2_1digito,Family_Size,Age_Inf,Age2_Outlier_ZS,Age3_Outlier_ZS,Age_Inf_Outlier_ZS,Fare_Outlier_ZS,Age2_Outlier_IQR,Age3_Outlier_IQR,Age_Inf_Outlier_IQR,Fare_Outlier_IQR
1,0.0,3,1,0,7.0,Died,male,M,6,1,S,22.0,22.0,0,Adult,1,2,2,22.0,22.0,22.0,22.0,7.0,22.0,22.0,22.0,7.0
2,1.0,1,1,0,71.0,Survived,female,C,85,0,C,38.0,38.0,0,Middle_Aged,4,4,2,38.0,38.0,38.0,38.0,71.0,38.0,38.0,38.0,65.0
3,1.0,3,0,0,8.0,Survived,female,M,6,1,S,26.0,26.0,0,Adult,3,3,1,26.0,26.0,26.0,26.0,8.0,26.0,26.0,26.0,8.0
4,1.0,1,1,0,53.0,Survived,female,C,123,0,S,35.0,35.0,0,Middle_Aged,4,4,2,35.0,35.0,35.0,35.0,53.0,35.0,35.0,35.0,53.0
5,0.0,3,0,0,8.0,Died,male,M,6,1,S,35.0,35.0,0,Middle_Aged,1,4,1,35.0,35.0,35.0,35.0,8.0,35.0,35.0,35.0,8.0
6,0.0,3,0,0,8.0,Died,male,M,6,1,Q,28.0,28.0,1,Adult,1,3,1,33.0,28.0,28.0,33.0,8.0,28.0,28.0,33.0,8.0
7,0.0,1,0,0,52.0,Died,male,E,46,0,S,54.0,54.0,0,Senior_Citizen,1,5,1,54.0,54.0,54.0,54.0,52.0,54.0,54.0,54.0,52.0
8,0.0,3,3,1,21.0,Died,male,M,6,1,S,2.0,2.0,0,Toddler,2,0,5,2.0,2.0,2.0,2.0,21.0,3.0,3.0,2.0,21.0
9,1.0,3,0,2,11.0,Survived,female,M,6,1,S,27.0,27.0,0,Adult,4,3,3,27.0,27.0,27.0,27.0,11.0,27.0,27.0,27.0,11.0
10,1.0,2,1,0,30.0,Survived,female,M,6,1,C,14.0,14.0,0,Teenager,4,1,2,14.0,14.0,14.0,14.0,30.0,14.0,14.0,14.0,30.0
11,1.0,3,1,1,17.0,Survived,female,G,6,0,S,4.0,4.0,0,Toddler,3,0,3,4.0,4.0,4.0,4.0,17.0,4.0,4.0,4.0,17.0
12,1.0,1,0,0,27.0,Survived,female,C,103,0,S,58.0,58.0,0,Senior_Citizen,3,6,1,58.0,58.0,58.0,58.0,27.0,54.0,54.0,58.0,27.0
13,0.0,3,0,0,8.0,Died,male,M,6,1,S,20.0,20.0,0,Adult,1,2,1,20.0,20.0,20.0,20.0,8.0,20.0,20.0,20.0,8.0
14,0.0,3,1,5,31.0,Died,male,M,6,1,S,39.0,39.0,0,Middle_Aged,1,4,7,39.0,39.0,39.0,39.0,31.0,39.0,39.0,39.0,31.0
15,0.0,3,0,0,8.0,Died,female,M,6,1,S,14.0,14.0,0,Teenager,3,1,1,14.0,14.0,14.0,14.0,8.0,14.0,14.0,14.0,8.0
16,1.0,2,0,0,16.0,Survived,female,M,6,1,S,55.0,55.0,0,Senior_Citizen,4,6,1,55.0,55.0,55.0,55.0,16.0,54.0,54.0,55.0,16.0
17,0.0,3,4,1,29.0,Died,male,M,6,1,Q,2.0,2.0,0,Toddler,2,0,6,2.0,2.0,2.0,2.0,29.0,3.0,3.0,2.0,29.0
18,1.0,2,0,0,13.0,Survived,male,M,6,1,S,28.0,28.0,1,Adult,1,3,1,33.0,28.0,28.0,33.0,13.0,28.0,28.0,33.0,13.0
19,0.0,3,1,0,18.0,Died,female,M,6,1,S,31.0,31.0,0,Middle_Aged,4,3,2,31.0,31.0,31.0,31.0,18.0,31.0,31.0,31.0,18.0
20,1.0,3,0,0,7.0,Survived,female,M,6,1,C,28.0,27.0,1,Adult,4,3,1,34.0,28.0,27.0,34.0,7.0,28.0,27.0,34.0,7.0
21,0.0,2,0,0,26.0,Died,male,M,6,1,S,35.0,35.0,0,Middle_Aged,1,4,1,35.0,35.0,35.0,35.0,26.0,35.0,35.0,35.0,26.0
22,1.0,2,0,0,13.0,Survived,male,D,56,0,S,34.0,34.0,0,Middle_Aged,1,3,1,34.0,34.0,34.0,34.0,13.0,34.0,34.0,34.0,13.0
