"IDpol","ClaimAmount"
1552,995.2
1010996,1128.12
4024277,1851.11
4007252,1204
4046424,1204
4073956,1204
4012173,1204
4020812,54942.62
4020812,7620
4074074,1204
4038917,77.2
4078046,1045
4002627,1204
4040835,1204
4016845,1204
4020011,1204
4047043,1204
4013137,1204
4017287,556.14
4025167,1204
4044025,1204
4070042,1204
4002743,556.14
4002743,1204
4040516,556.14
4040516,1204
4018480,1204
1012867,417.52
4071839,1204
4051128,1204
4027811,1204
1007007,419.23
4031365,1204
1013558,9568.34
4049865,76.54
4032858,1204
4036118,6403.42
4026763,602
4021448,1204
4085369,212
1013423,650.73
4046864,5537.37
4023587,1204
1013423,1128.12
4045094,1204
4005990,1204
4045537,556.14
4047821,1204
4079554,288.17
4079554,556.14
4014458,4868.88
4046150,822.73
4046150,105
4040097,5102.65
4040097,1302.79
4050049,1204
4032500,1204
4050682,602
4027144,1204
4026476,1204
1011592,1128
4032652,643
1012238,236.41
4072824,1204
1013017,4673.43
4082304,775.22
4082304,1204
4071724,1204
4045181,1204
4044936,1204
4073779,741.14
4047026,602
4004932,556.14
4004932,1204
4030922,658.47
4030922,1458.78
4013329,1204
4040912,1204
4026938,465.61
4010875,115.76
4007562,15139.64
4075024,602
4034999,1153.88
1013126,1128.12
4074647,1204
4003515,1204
4053416,1204
1011448,1128.12
4054864,82.05
4041620,1204
4082274,1204
4047719,1204
4071397,1874
4040034,750
4051409,1204
4033751,1204
4055372,17616.93
4055372,1204
4040803,1204
4041962,1204
4045538,556.14
4014293,405.29
4072103,1204
4045936,747
4029468,5714.17
4029468,1670
4042992,2735.14
4080591,602
4041886,1204
1012045,1128
4045366,695.18
4045366,1276.52
4081816,602
4007322,99.72
1005527,80.45
4012757,788.07
4077549,262.05
4031845,556.14
4031845,1320
4080469,97.5
4005526,1204
4040157,677.51
1008456,1128.12
4050789,1204
4048201,4301.07
4081492,1204
4016233,602
4071527,602
4045725,747
4047920,1204
4003381,1204
4039077,1204
4071478,1204
4047952,1198.07
4036493,31430.49
4032412,1204
4016505,235.88
4047181,1204
4028135,1204
4037719,1204
4051789,1204
4048632,6805.57
4001936,73831.86
4001936,602
4083610,1204
4054712,1204
4047357,1204
4037114,1204
4073760,1204
4081019,556.14
4027334,1204
4078697,1204
4032351,1204
4072993,1204
4084554,1204
4083145,1204
4031879,1204
4075978,252.45
4046903,1284.81
4002501,271.94
4016840,1204
4070526,556.14
4023587,1204
4079565,2838.07
4075712,1204
4049446,1204
4042480,1204
4039674,1204
4035465,1204
4011408,1204
4054698,1204
4012804,602
4075241,1204
4016245,556.14
4016245,540
4005257,1204
4053251,2077.82
4001858,1048.98
4001858,1204
4083586,602
4008875,1204
4025543,959.53
4025543,602
4070358,1204
4080391,1204
4027377,1204
4037412,1204
4081973,2018.44
4033416,1204
4018889,1204
1002484,14758.09
4047174,82.05
4055082,1204
1000981,1128.12
4014282,556.14
4014282,1537.77
4069906,1204
4038839,602
4053627,1204
4010201,603.7
4045868,16129.91
4054991,1042.9
4080675,602
1012767,1128.12
4011573,2498.95
4074006,746.65
4076177,1002
4056100,6539.97
1008384,1128.12
4056100,1204
4041563,556.14
4036173,1204
4017211,1204
4079790,1028.43
4079790,602
4012950,1204
4001814,89.7
4033529,1204
4078660,1204
4070328,602
4015141,1204
4013072,602
4030710,5827.75
4030710,7492.43
4071744,1204
4040775,1204
4008155,1320
4047612,1887.78
1011507,1128.12
4003322,602
4024700,1882.51
4024700,7920
4073469,956.14
4049882,388.4
4000007,556.14
4000007,1204
4077887,602
4034182,602
4044981,1204
4077819,1204
4078904,1204
3045425,1204
4010765,1204
4080319,916.14
4050259,1204
4041656,1204
4006471,1204
1011898,1128.12
4059223,5234.12
4073723,5632.81
4027115,1204
4028558,1204
4042701,3547.27
4042701,1320
4012232,746.65
4027409,161.07
4027409,2423.58
4011494,7018.71
4011494,1204
4075865,1419.29
4018413,1204
4073997,1204
4077319,1204
4085358,7250
4085358,1204
4019521,1204
4036399,1204
4054068,1204
4072487,1139.19
4034763,1204
4074168,19042.19
4074168,1204
4056619,5423.52
4056619,602
4017256,1204
4004791,1204
4078660,602
4001036,1204
4050709,1204
4050247,602
1007608,655.08
4041419,7000
4022500,1204
4040576,1255.43
4040576,1204
4060178,2142.66
4042546,42.99
4022582,602
4021985,1204
4035478,1204
4047363,1204
4080008,1204
4051125,3663.44
4054318,1204
4053558,88.5
4050770,1204
4037199,1204
4046534,553.82
4076733,1204
4047404,1204
4029297,1204
4077133,160
4078654,1204
4056857,1204
4041686,86.09
4039840,35193.25
4039840,1204
4073123,1204
4023751,1204
4086286,959.9
4074474,6.75
4080790,652.68
4055082,1204
4055969,1204
4008676,1204
4044981,1204
4033849,1204
4077440,321.62
4049217,18536.3
4049217,4950
4021200,1204
4054795,1204
4000737,317.93
4054976,556.14
4049000,1204
4042363,1204
4033498,1204
1007981,279.85
4039644,1204
4012843,1204
4011503,1204
4034646,1204
4027409,3417.88
1012209,1505.14
4080646,1204
1012209,1128.12
4016873,1204
4048384,1204
4079967,1448.77
4079967,480
4007812,1792.58
4077683,1371.4
1008207,1128.12
4076422,83.53
4061669,5507
4061669,1204
4079560,1204
4010176,1204
4016626,347.17
4026451,1204
4079170,1244.62
1009054,7787.05
4037946,835.07
4037946,1204
4020151,84.02
4017773,4381.17
4005829,85.51
4005829,1204
4071316,1204
4022709,602
4057109,556.14
4057480,1204
4022797,1204
4013135,634.04
4031948,1204
4025508,1204
1009513,1128.12
4044709,1204
4077216,796.53
4038027,1204
1012326,1128
4086503,1204
1013843,1837.63
4014913,1204
4021192,1204
4083676,1204
4053435,237.15
1010083,1128.12
4032668,556.14
4032668,1204
4033982,1204
4006130,18999.75
1010215,564.06
4071303,1204
4036722,1204
4017457,89.7
4061145,379.95
4033625,602
1013661,1128.12
4071127,84.92
4071127,1204
1009842,1128
4056842,602
4023867,1204
4084004,1204
1008372,1128.12
4021770,1204
4042068,3956.14
4042068,1204
4041886,1204
4039366,356.47
4077216,1204
4008798,556.14
4085153,1204
4084102,1204
1534,671.05
4062330,1692.81
4004509,1810.26
4004509,1745.1
4073123,1204
1014164,1128
4006078,1618.57
4009183,1204
4003216,1204
4053435,1211
4072740,362.26
4073389,1204
4024119,1204
4011563,1204
4022086,602
4015249,1204
4035876,1204
4022281,1204
4077488,950.86
1008000,1128
4063533,1922.13
4032095,683.35
4032095,660
4081373,772.22
4081373,1320
4077182,673.66
4077182,685.12
4030586,1204
4070452,1204
4074250,203.5
4074250,3600.62
4021893,1204
4031288,556.14
4045036,1204
4061515,1204
4027482,602
4053690,1204
4028946,1204
1007219,1128.12
4009556,556.14
4000054,1204
4047952,1443.01
4063325,1204
4055003,1204
4084269,1162.67
4037800,1204
4018655,1204
4007984,82.05
4062035,1204
4013136,15174.47
4049000,1204
4063507,1204
1012657,2029.17
4047731,1204
4015694,602
4007851,1204
4070812,1204
4038398,1204
4035700,5458.09
1007653,1128
4047489,1204
4019674,1204
4070551,1204
4061883,1204
1011703,222.39
4025474,602
4016610,1204
4046596,1204
4030689,602
4047444,1204
4061343,1204
4041055,1204
4085324,602
4022486,602
4031776,556.14
4025894,1278.7
4021617,2185.38
4040037,1204
1004954,1128
4052004,1204
4061626,1204
1013510,358.12
4057827,1204
1005240,1128
4002948,1204
4077835,1204
4051789,138.78
4051789,556.14
4063603,1204
4041681,1204
4063594,1204
4064284,556.14
4054241,1204
4065341,1204
1010328,1607.84
4050469,958.53
4050469,1204
4082417,1204
4021899,716.12
4070032,172.24
4003443,1204
4020330,819.81
1011801,1128.12
4036093,1204
1013087,1128.12
4012259,192.26
4012259,1204
4052615,398.96
4037514,61469
5244,5340.29
4053977,1204
4080433,1204
1008302,1128.12
4058436,1204
4037080,1204
4007365,1320
4043716,1204
4008268,33441
4085805,1182.58
3024996,1204
4041260,1204
1012773,4163.88
4072585,556.14
4011154,1204
1012773,2315.77
4020895,602
4040499,774.16
4035072,452.83
4037670,556.14
4033207,1204
4014752,1204
4012465,1204
1008667,1015.53
4047516,1204
4082475,1204
4061095,300
4050810,602
4081160,1204
4027509,5287.86
4005177,687.96
4035105,554.02
4073213,139477.15
4073213,15600
1014349,564.06
4034583,556.14
4016745,677.15
1013426,107.57
4058794,31232
4058794,1204
4002214,556.14
4027973,1204
4052182,1204
4045700,1204
4012885,1204
4054739,602
4039127,1204
1007250,1128.12
4064577,1204
4016441,1204
4005758,2471.48
4042872,120.99
4026049,1204
4043065,1204
4019124,1204
4041088,556.14
4041088,1204
4041089,1204
4078582,1204
4080438,1204
4043603,1204
4049776,1204
4023895,774.92
4023895,2797.05
4056528,1159.83
4015270,1204
4023632,602
4024225,313.21
4020653,1204
4005425,79.53
4005425,5814.51
4007531,1204
4052004,1204
4057761,766.03
4035826,1204
4005408,556.14
4055602,1204
1000962,2724.27
4051586,1204
4044642,1204
4075033,1595.82
4033289,1204
4080286,1204
1007277,564.06
4014414,106.93
4051316,1204
4086196,1204
1011294,1128.12
4080235,602
4082603,1204
4046192,19976
4046192,6253.46
4020398,1204
4060447,1204
4051496,556.14
4051496,4856
4079729,1198
4011016,1204
4062363,1204
4030042,1204
4078395,1204
4048199,556.14
4056804,1204
4064483,1204
4056353,1204
4077613,1204
4081907,268.16
4081907,1204
4063785,1204
4065744,90.23
1003729,235.88
4039201,1204
4044428,1204
4041112,1204
4049331,1204
4048115,1204
4007691,9275.71
4007691,1204
4042560,1204
4044746,1204
4081294,1204
4007637,6372
4007637,1204
4081695,526.92
4041195,1204
4061420,602
606,1840.14
4021048,1204
4046900,1204
4012477,1204
4074158,1204
4031494,1031
4031494,1204
4082423,1204
4012303,1204
4027166,1204
4052723,1204
4001645,1204
4083869,289.3
4002015,1204
4031494,2229.81
4031494,1204
4065985,1204
4075189,660
4066572,602
5070256,1204
5063479,1368.1
5063479,1204
5005064,1204
5056636,7719.41
5056636,6695.38
5040521,1204
5016240,1204
5001055,2351.15
5001055,1204
5033876,2073.1
1014102,1128
5057795,400
5057795,1204
5039105,1204
5052145,1204
5027513,1204
5059939,602
5041875,1204
5045482,2622.42
5045482,1204
5081027,699.55
5055235,1204
5030687,1204
5023829,1204
1007241,1128.12
1003301,1128.12
5002107,1204
5066950,1204
5076852,1204
424,989.64
1014620,1128.12
5083143,1204
5067675,1001.9
5043343,1204
5039277,1779
5047535,602
5064210,1204
5044190,1204
5083726,1204
5084556,179.73
5018232,1204
5014156,1204
5032837,1204
5002231,2092.47
5002231,1204
5006485,1204
5001493,1204
5058185,1204
5062148,668.75
5062148,1204
5047794,909.61
5056329,1204
5035774,4164.18
5035774,5937.49
5079390,1204
5034703,1204
5064444,1204
5036890,1204
5036140,1204
5029693,1204
5063277,1204
5017407,1204
5039246,1204
1007506,7056.45
5039416,1204
5073806,1204
1007506,1128.12
5067354,1204
5085144,1204
5048690,1204
5027708,1204
1013626,1128.12
5075380,1204
5060234,1204
5032922,10935.51
5032922,4500
5080807,602
5073014,1204
5030501,494.78
5020584,1204
1003662,3088.87
5078850,6035.49
5075110,740.44
1003662,1128.12
5055089,85552.27
5061116,3439.19
1011570,360.4
5040284,602
5051311,1204
5070811,1400
5046810,1204
5021567,1204
5028893,1204
5074038,1204
5082630,1605.34
5003685,851.81
5028539,1030.13
5008939,556.14
5072026,1204
1013710,8390
5014954,1204
5081905,1400
5072856,1204
5048404,1204
5071120,1204
5032255,2500
5063255,1204
5068893,1204
5054311,1204
5036378,289.43
4006440,1204
1013313,41689.45
5033118,644.78
5033118,602
5065154,1204
1013313,1128
5007162,1204
5041273,1204
5034866,15484
5034866,1028.32
5048135,1204
5064035,1204
5081773,1204
5058226,1204
5049713,602
5049764,1204
5057286,1204
5047478,1204
5049396,3700
5030955,1204
5013775,1204
830,1442.75
5001182,400
5000284,1204
5067398,660
5021552,1204
5006168,6821.81
5006168,1204
5005661,1343.4
5009076,556.14
5009076,661.52
5033716,1653.43
5074924,8033.42
5019077,602
5013992,1542
1014923,1128.12
5011594,1204
5038739,602
5040790,1204
1002830,1128.12
5038974,1204
5070016,1204
5006977,1204
5049809,26526.3
5059761,1204
5027082,1204
5012034,622.8
5012034,400
5047846,602
5025542,1204
5046589,1204
5020176,1204
5049153,1204
5014887,9000
5052927,6070
5052927,1107.99
5037084,1204
5068147,125847.05
5031877,1204
5018545,1204
1011719,1128.12
5018552,1215.16
5086043,1204
5045717,1204
5007080,1204
4232,532.4
5030669,1204
5077022,1003.71
5003019,1204
5066601,1767.71
5003268,587.05
5082438,1204
5005443,602
5056448,232
5074510,1204
5029953,5327.15
5057190,106.46
5007075,1873.93
5056081,602
5000262,1204
5023645,602
5074196,1204
5041605,1204
1010794,564
5021112,1204
5060401,1204
5027632,1204
5054189,573.25
1001281,9189.47
5052226,420
5042613,789.83
5042613,1204
5066769,1204
5084652,602
5042276,1204
1011655,2490.25
5039032,4046.95
5081432,1204
5055342,7652.15
5055342,1204
5056215,3198.4
5056215,1204
5056276,3422
5027056,1204
5021521,1204
5004747,1320
5065794,1204
5002098,556.14
5002207,529.02
5079819,1204
5067124,1440.28
5016276,1204
1006219,1128
5086396,602
5082589,1204
5057138,100.46
5076796,8573.66
5026061,1204
5083592,1204
5006240,1204
5053179,556.14
5053179,1204
5035360,1204
5017495,1750.04
5023046,1204
5076287,970.27
5062480,602
5052103,1204
5064343,1204
5042321,1204
5028281,556.14
5060194,49420
5068786,1204
5061665,1204
5064763,83.73
5064763,602
5057192,1204
5024525,1055.94
5047867,1204
5083320,1204
5066794,1204
5059321,1204
1002932,1128.12
5024984,1204
5038213,1204
5020009,1204
5034647,896.25
5036521,902.78
5076697,1204
5047793,1290.35
1013548,1128.12
5003722,1204
5036469,1320
1003055,1128.12
5008262,1204
5043802,1204
1014420,1128
5058359,1204
5079062,1204
5079000,1204
5072582,1204
5004356,1204
1013766,1128.12
1014028,1128.12
5031593,9387.19
5077810,651.99
5034401,1204
5044554,1760.2
5066191,667.74
5023190,1204
5026744,556.14
5026744,1204
5014164,1647.13
5060900,1204
5069023,1204
5057257,1286.26
5021912,1204
5042821,205
1010915,5978.06
5080428,1204
5007841,1204
5005904,1204
5072061,483.32
5073342,2243.86
5085393,1204
5082614,800
5082614,3694.85
5078247,1204
5066127,1204
5070153,1204
5018753,51.43
5018753,1320
5041597,1204
1009233,1128.12
5073104,556.14
5062704,1204
5001269,266.72
5071833,1204
5074613,763.41
1013257,1128
5046884,1204
1741,2975.68
5066628,105.3
5061058,556.14
5011027,556.14
5011027,1320.65
5041230,99260.24
5041230,1320
5072072,1204
5063912,602
1015137,1128
5082025,602
5066859,1204
5027513,1204
5083923,12136
5083923,1204
5073672,1214.95
5040721,556.14
5040721,747
5031605,1270.06
5031605,1174.87
5055699,602
5017319,1204
5056907,1204
5027416,1204
5023638,1204
5062277,568.72
5017550,3125
5017550,1204
5083898,370.97
5083898,101.66
5047568,556.14
5047568,1204
5056471,1204
5057941,750.82
5042885,1230.98
1010967,4103.84
5051884,1204
5005106,1204
5075919,5225.72
5012137,1204
5011970,1204
5076382,1204
5044347,13.51
5063263,660
5064101,91.5
5086149,1204
1001463,1128
5030730,1204
5065649,1204
3362,4166.79
5052410,312.23
5067594,1204
5023015,602
5077619,556.14
1013718,1128.12
5074038,191.97
5040324,660
5024852,1204
5024852,1204
5076773,2834.75
5056761,1204
5007943,4024
5007943,1989.5
5039929,1204
5002911,257.26
5068396,1204
5040782,1204
5030461,1204
1007626,1128.12
5068241,1204
5046239,1320
5043547,602
5086558,1204
5075242,1204
5030293,1204
5017934,1204
5073689,1204
5040771,556.14
5049126,1204
5076919,556.14
5076919,1204
5014750,50000
1013992,1128
5044427,1204
5013915,792
5013915,1204
5065811,2519.39
5046000,1204
5083791,1204
5077815,1204
5068525,1204
5076543,1204
5020238,1204
5040796,1204
5084957,90.89
5075890,1204
5040684,1294.52
5066871,1516.06
5066871,99.99
1002522,1118.29
5076697,602
5084577,1204
5051534,1204
5020318,33620.84
5020318,1204
5037762,1320
5047624,20718
5047624,1204
5076955,1204
5052328,1204
5018519,1927.62
5041174,602
1007813,1128
5013405,516.03
5052868,1204
1009727,1128
5030844,1204
5033465,200885
5033465,260
5057974,1204
5036146,820.74
5041524,1204
5034076,1204
5066136,1204
5060914,2969.9
1004868,1643.21
5017684,898
5017684,602
5082100,1204
5069205,1204
2776,679.09
5049554,696.19
5032859,1204
1011842,1066.72
5062526,11403.27
5045581,1204
5006041,1204
5061693,1204
5064403,1204
5061394,1204
5064567,682.7
1002200,1128
5064567,1204
5029445,373.5
5029445,739.27
5057175,556.14
5082750,1204
5074511,1204
1004039,1841.84
5045145,1320
5051223,1204
5079766,1933.95
5064884,180
1010591,1128.12
5081152,1204
5054363,1320
5013745,1204
1015412,1128.12
5015010,1127.6
5015010,1204
5063026,1204
1013165,1128.12
5067116,602
5055144,1204
5013227,1204
5082770,1204
5060532,1204
5059787,86.71
1014080,34.65
5056437,747
5019837,1204
1014337,564.06
5000325,1204
5021275,2142.92
5081994,1320
5078360,3000
5078360,8749.09
5074974,1204
5056740,1204
5045296,84.92
5042763,1204
5074686,1204
5041364,1204
5033436,602
5080914,1204
5075446,636.68
5058855,602
5075009,17378
5075009,9110
5008860,622.25
5032897,664.56
5064393,338.52
5025757,602
5074246,1204
5007916,1204
5042180,68361
5037261,1320
5064881,9804.13
5019979,1204
5058120,400
5058120,1320
5067211,1320
5082644,602
5061418,1204
5040352,3979.79
5084855,1204
5011340,1204
5049508,660
5012369,7000
5012369,862.65
5019247,547.62
5046427,1204
5061890,1204
1009990,1128
5063524,660
1012815,1128
5024853,1000
5060366,127.97
5005232,1320
5071514,923.54
5084115,1204
1014534,1128.12
5032972,1204
5086369,1326.66
5060100,1204
5051686,214.87
5013658,1204
5017445,556.14
1006724,1128.12
5050056,1204
5017674,1320
5068370,1320
5065936,1204
1009678,1128.12
5046256,7000
5046256,1204
5037814,8098.07
5043261,1157.16
5037553,1320
5082001,556.14
5062319,263.86
5006641,1320
5074452,1320
5075740,4327.02
5065235,1204
5028578,1204
5005978,1204
5036957,3153
5036957,1204
5048039,89.7
5006707,11100.5
5006707,124.99
5045065,1320
5084272,3204.88
5040796,1320
5003632,1356.14
5003632,131.76
5060549,1204
5034764,602
5055746,1320
5021636,12905
5022518,1204
5044733,556.14
5044733,1204
5056809,1320
5054160,1204
5046005,387.07
5038556,711.43
5077550,1204
5051593,1204
5018604,9806
5018604,2089.04
5042232,1320
5038778,1204
5060157,1320
5043758,4085.14
5043758,1204
5077686,1204
5004684,556.14
5017577,1320
5006168,1204
5012330,1204
5049240,1204
5084142,893.81
5084142,1204
5014294,1204
5030581,1691.04
5030581,4300
5044733,1320
5040825,2040.38
5011234,747
5078909,1204
5051298,93.55
5085072,1204
1001106,1128.12
5005770,1.95
5078523,1204
5004756,1320
5042186,1320
5028048,602
5050255,1320
1012456,1128
5011166,1320
5037336,3224.38
5037336,1204
5073378,556.14
5078917,22000
5078917,1204
5050175,602
5011617,602
5034987,602
5002145,4232.66
1013689,4024.11
5026409,1320
5041560,1320
1013689,1128
5073521,1320
5004695,1204
5062947,2624.6
5073499,1204
5034791,556.14
5034791,602
5049711,1204
5064061,787.15
5064061,1204
5069201,1320
5016744,1217.47
5015866,3116.7
5029363,417.35
5043879,1204
5043385,1320
5043825,3825.18
5043825,660
5058975,7042
1013911,1128.12
5058975,1204
5067075,1204
5039174,1204
5048407,556.14
5048407,1320
5019625,1204
5056167,933.97
5006563,703.86
1009864,564.06
5028757,660
5018758,1204
5080605,1204
5037176,1204
5057769,602
5000991,683.52
5002988,556.14
5025127,1204
5073560,22000
5014319,1123.81
5086311,602
5004045,1204
5037382,1204
5077071,976.67
5038587,2028.2
5043278,1350
5084396,556.14
1012864,564.06
5074515,556.14
5074515,746.65
5001071,1204
5036556,16310
5036556,1320
5037715,1320
5057901,3548.65
1015344,1128
5043348,602
1012629,71.29
5053628,602
5045914,1204
5073398,1204
1004385,82.05
5073163,556.14
5073163,1204
5068807,1320
5072263,1320
5011033,1204
5044704,1204
5065287,1204
414,1456.55
5020726,1235.57
5017180,1320
5016725,1204
1002808,285.71
5043897,941.76
5073642,120.8
5038219,1204
5012445,1128.82
5025281,1204
5041932,1204
1008434,857.21
5046159,212
5011694,1320
5068907,1204
5056497,1320
5048105,1204
5018977,1320
5069102,660
5075342,1320
5066441,1204
5066648,1204
5000590,1204
5019473,1204
1014148,1128
5041031,1320
5011007,1204
5070065,1724.36
3801,5451.29
5070065,1320
5012934,550.71
5009795,1204
1012586,564
5010044,1204
5045856,1320
5044663,1204
5065335,556.14
5013927,746.65
5080161,1204
5024413,1204
5059874,1204
5035252,1204
5069013,1320
5033200,1204
5022437,1320
5025251,556.14
5046250,556.14
5046250,1204
5065361,1320
5012083,1204
1013511,232.1
5036596,1320
5040357,1204
5071958,22000
5071958,8000
5014537,961.18
5063508,1204
5029699,1204
5003752,1204
5029005,812.88
5003112,1320
5005285,967.74
5005476,7380
5005476,1204
5001197,1320
5018634,7000
5018634,7697.78
5029962,1204
5085047,1204
5040135,1204
5016959,1204
5077491,1204
1012015,1128
5085511,405.3
5061033,602
5085653,1320
1003562,1128
5064395,1204
5076744,1204
5075667,7000
5075667,1204
5009420,602
5034300,2669.42
5071794,678.37
5071794,2500
5021496,1204
5004163,602
5079351,1320
5006238,1204
1013265,1128
5006873,27522
5006873,602
5041771,1075.45
1012343,1128.12
5020434,8288
5020434,1320
5010680,664.65
5062475,1320
5036966,1320
5082964,1204
5012692,1204
5051489,1204
5037450,602
5018667,7000
5043660,602
5063326,712.94
5020238,1204
5037985,1204
5033095,1320
5000906,730.62
5061194,1320
5003124,1320
1015457,1393.55
2540,6467.65
5056992,602
5010390,1204
5014803,1768.22
5032664,7000
5032664,1320
5055983,1204
5066740,1204
5034676,1204
5031352,8186.92
5031352,2000
5053615,1320
1006491,1128.12
5033827,1320
5040828,89.69
5008572,862.65
5064188,1320
5075430,1320
5023959,84.92
5008974,300
1011783,1128
5050209,660
5072459,862.65
5086802,1320
5081194,1306.86
5020546,1204
5062009,1320
1004296,2147.22
5030164,1204
5024961,1204
5027015,1095.47
5057427,660
5031258,1204
5046118,59.77
5045176,1204
1011610,3176.08
5056592,602
5019341,1204
5043713,733.25
5039498,353.05
5057306,602
5081291,2500
5039369,469.52
5031475,1320
5078080,1204
5012800,1204
5066985,1204
5020744,1204
5027673,1204
5055649,602
5072832,660
5042255,209
5007485,1204
1012108,1128.12
5035491,556.14
5035491,1204
5004425,1204
5069017,1204
5054375,1320
5019101,1204
5052328,1320
5057407,1320
5035278,184.12
5035278,745.9
5039400,660
5067209,602
5062891,1204
5076496,1204
5078960,1320
5054881,1397
5061222,1320
5043903,1204
5036949,1204
5046827,9419
1012522,1128.12
5046827,7110
5046469,1320
5086357,862.65
5061548,1851.89
5064922,1204
5045087,1320
5017461,92.4
5066618,1320
5069017,1204
5056020,1320
5058549,1320
5062757,1204
5085325,602
4012525,7000
5064168,1320
6052559,279.08
5087419,1203.51
5087751,64.98
5087714,556.14
5086837,5149.3
5089096,1204
5089595,1204
5069720,1204
5088627,1204
5088890,1204
5089632,1298.89
5091289,1204
5089226,1204
1011785,564
5088642,95.68
5091531,7000
5087318,1204
5088600,1204
5090749,85
5090749,108.65
5089714,1204
5069710,1261.8
5092585,1204
1015611,4238.61
1015611,1044.1
5093572,1340
5091954,556.14
5087506,188.85
5069565,1204
1005203,1128
5086906,3903.41
5090575,556.14
5089342,1204
5089559,163.25
5089559,3187.94
5093943,602
5093146,1204
5087370,2408
5096322,357.13
5086863,1204
5096141,1204
1015558,1508
5088529,556.14
5097036,1204
5089182,602
5093772,1204
5093916,7000
5093916,1204
5094111,1204
5094546,759.89
5087252,602
5088406,1204
5096931,1204
1009307,1128.12
5091159,1204
5090555,2408
5089127,2408
5096053,5216
5096053,8036.25
5087818,2408
1015130,1128
5097681,1814.4
5096002,595.72
5096121,1204
5098093,1908
1005714,1128
5094561,2408
